AnimalID;Name;Day;month;Year;Hour;Minute;Second;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;Sex;AgeuponOutcome;Breed;Color;Color2
A665223;Boss;16;10;2013;11;24;0;Transfer;Partner;Dog;Intact;Male;1 year;Golden Retriever;Gold;Buff
A665234;Salsa;16;10;2013;17;23;0;Return_to_owner;;Dog;Spayed;Female;1 year;Alaskan Husky Mix;White;
A665256;Jerry;15;10;2013;19;2;0;Euthanasia;Suffering;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Orange Tabby;White
A665258;Birdie;4;12;2013;12;44;0;Transfer;Partner;Cat;Spayed;Female;1 year;Snowshoe Mix;Seal Point;
A665274;Rusty;30;12;2013;18;48;0;Adoption;;Dog;Neutered;Male;1 year;German Shepherd Mix;Brown;
A665279;Pinky;4;11;2013;15;10;0;Transfer;Partner;Dog;Intact;Female;1 year;Dachshund Mix;Black;Brown
A665319;Oberon;22;10;2013;17;9;0;Adoption;;Dog;Neutered;Male;1 year;Anatol Shepherd Mix;Tan;White
A665326;Sampson;30;12;2013;12;6;0;Transfer;Partner;Dog;Neutered;Male;1 year;Pit Bull Mix;White;Brown Brindle
A665348;;20;10;2013;11;47;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Torbie;
A665352;;22;10;2013;17;6;0;Adoption;;Dog;Spayed;Female;1 year;Port Water Dog Mix;Black;Gray
A665386;;22;10;2013;15;6;0;Transfer;Partner;Dog;Intact;Female;1 year;Chihuahua Shorthair/Rat Terrier;White;Black
A665391;Maybelle;5;12;2013;15;39;0;Adoption;;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Blue Tabby;White
A665403;Spark;21;10;2013;19;5;0;Adoption;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Yellow;
A665421;Walter White;3;11;2013;15;0;0;Adoption;;Dog;Neutered;Male;1 year;Miniature Poodle Mix;White;
A665422;Hootie;30;11;2013;17;36;0;Adoption;;Dog;Neutered;Male;1 year;Dachshund Mix;Brown Brindle;White
A665427;;20;10;2013;13;37;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Blue;
A665428;;20;10;2013;13;37;0;Transfer;SCRP;Cat;Intact;Male;1 year;Domestic Shorthair Mix;Black;
A665453;Topher;20;11;2013;12;35;0;Adoption;;Dog;Neutered;Male;1 year;German Shepherd/Nova Scotia Duck Tolling Retriever;Tan;Black
A665467;;21;10;2013;15;37;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;White;Blue
A665491;Oso;18;10;2013;19;19;0;Return_to_owner;;Dog;Intact;Male;1 year;German Shepherd Mix;Black;
A665492;Manny;23;10;2013;13;39;0;Adoption;;Dog;Neutered;Male;1 year;Rhod Ridgeback/Pit Bull;Red;
A665551;Aggie;12;12;2013;13;11;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Black;White
A665560;Bud;1;11;2013;17;0;0;Adoption;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Red;White
A665566;;24;10;2013;15;40;0;Transfer;Partner;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Tan;
A665572;;24;10;2013;11;11;0;Transfer;Partner;Dog;Neutered;Male;1 year;Great Pyrenees Mix;White;
A665588;;23;10;2013;15;7;0;Transfer;Partner;Dog;Intact;Female;1 year;Whippet/Miniature Pinscher;Tan;
A665604;Pixie Stick;20;2;2014;13;39;0;Transfer;Partner;Dog;Spayed;Female;1 year;Chihuahua Shorthair Mix;Tan;White
A665614;;20;10;2013;13;1;0;Transfer;Partner;Cat;Intact;Male;1 year;Domestic Shorthair Mix;Black;
A665620;Mona;22;10;2013;17;12;0;Return_to_owner;;Dog;Intact;Female;1 year;Chihuahua Shorthair Mix;Tricolor;
A665622;;24;10;2013;17;34;0;Transfer;Partner;Dog;Spayed;Female;1 year;Old English Sheepdog;Gray;White
A665625;Snickers;22;10;2013;16;38;0;Return_to_owner;;Dog;Neutered;Male;1 year;Basset Hound Mix;Tricolor;
A665650;;28;10;2013;15;32;0;Transfer;Partner;Dog;Spayed;Female;1 year;Chow Chow/Basset Hound;Red;
A665660;Baxter;11;11;2013;11;23;0;Transfer;Partner;Dog;Intact;Male;1 year;Pit Bull/Labrador Retriever;Tan;White
A665666;Teddy;27;12;2013;15;49;0;Transfer;Partner;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Black;
A665669;Bozo;17;12;2013;11;43;0;Adoption;;Dog;Neutered;Male;1 year;German Shepherd Mix;Tan;Black
A665687;Petey;30;11;2013;13;42;0;Adoption;;Dog;Neutered;Male;1 year;Dachshund/American Staffordshire Terrier;Fawn;
A665710;Brooke;25;10;2013;14;33;0;Transfer;Partner;Dog;Spayed;Female;1 year;Cairn Terrier Mix;Tan;White
A665737;Milo;31;10;2013;17;48;0;Adoption;;Dog;Neutered;Male;1 year;Dachshund Wirehair/Miniature Schnauzer;Black;Silver
A665742;Maggie;26;10;2013;18;5;0;Adoption;;Dog;Spayed;Female;1 year;Dachshund/Chihuahua Shorthair;White;Red
A665753;;23;10;2013;15;1;0;Transfer;SCRP;Cat;Intact;Male;1 year;Domestic Longhair Mix;Brown Tabby;
A665757;;26;10;2013;17;20;0;Transfer;Partner;Dog;Neutered;Male;1 year;Dachshund/Beagle;Red;White
A665776;;22;10;2013;17;5;0;Euthanasia;Suffering;Dog;Intact;Male;1 year;Chihuahua Shorthair Mix;Tan;White
A665859;;24;10;2013;15;24;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Blue;
A665861;Mistic;28;10;2013;17;59;0;Adoption;;Dog;Spayed;Female;1 year;Australian Shepherd Mix;White;Red
A665874;Trip;13;1;2014;12;40;0;Return_to_owner;;Dog;Neutered;Male;1 year;Pit Bull Mix;Brown;White
A665883;Betty;28;10;2013;15;49;0;Transfer;Partner;Dog;Intact;Female;1 year;Chihuahua Shorthair Mix;White;Tan
A665893;Joey;5;9;2014;16;18;0;Return_to_owner;;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Orange Tabby;
A665897;;5;11;2013;16;18;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Black;
A665898;Markie;2;2;2014;17;4;0;Adoption;;Dog;Neutered;Male;1 year;Pit Bull Mix;Brown;White
A665906;Dolly;25;11;2013;13;55;0;Adoption;;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Black;White
A665907;Lionel;15;11;2013;19;2;0;Adoption;;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Brown Tabby;White
A665909;Brutus;30;10;2013;14;40;0;Adoption;;Dog;Neutered;Male;1 year;Miniature Pinscher Mix;Black;Tan
A665914;;26;10;2013;15;46;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Calico;
A665923;Willow;4;11;2013;15;0;0;Return_to_owner;;Dog;Spayed;Female;1 year;German Shepherd/Labrador Retriever;Red;
A665938;Maggie;4;11;2013;14;5;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Black;White
A665939;Pat;4;11;2013;14;5;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Medium Hair Mix;Black;
A665979;John;30;10;2013;17;20;0;Adoption;;Dog;Neutered;Male;1 year;German Shepherd Mix;Black;Tan
A665983;Brandy;25;10;2013;17;57;0;Transfer;Partner;Dog;Intact;Female;1 year;Pit Bull Mix;Brown;White
A666043;Dirk;4;3;2014;14;46;0;Adoption;Foster;Cat;Neutered;Male;1 year;Domestic Shorthair;Black;
A666050;Blake;2;11;2013;18;50;0;Adoption;Foster;Dog;Neutered;Male;1 year;Australian Cattle Dog Mix;Brown;White
A666051;;28;10;2013;15;51;0;Transfer;Partner;Dog;Intact;Female;1 year;Border Collie Mix;Tricolor;
A666121;Blue;1;11;2013;17;8;0;Return_to_owner;;Dog;Neutered;Male;1 year;Australian Cattle Dog;Blue Merle;Tan
A666139;Luna;1;12;2013;15;6;0;Adoption;;Dog;Spayed;Female;1 year;Pit Bull Mix;Black;White
A666149;Roo;25;11;2013;13;35;0;Adoption;Foster;Dog;Spayed;Female;1 year;German Shepherd/Siberian Husky;Sable;
A666152;Shy Boy;9;11;2013;14;27;0;Transfer;Partner;Dog;Neutered;Male;1 year;Labrador Retriever/Australian Cattle Dog;Buff;
A666154;Gizmo;27;12;2013;13;15;0;Adoption;;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Calico;
A666176;Scruffy;4;11;2013;16;27;0;Transfer;Partner;Dog;Neutered;Male;1 year;Miniature Schnauzer/Yorkshire Terrier;Tricolor;
A666181;Deacon;10;11;2013;16;49;0;Adoption;;Dog;Neutered;Male;1 year;Australian Cattle Dog/Labrador Retriever;Red Merle;White
A666189;Paige;13;11;2013;18;28;0;Return_to_owner;;Dog;Neutered;Male;1 year;Border Collie Mix;Tricolor;
A666251;Knox;1;11;2013;11;9;0;Return_to_owner;;Dog;Neutered;Male;1 year;Siberian Husky Mix;Gray;White
A666284;Sonja;30;10;2013;18;32;0;Transfer;Partner;Dog;Intact;Female;1 year;Cocker Spaniel/Dachshund;Buff;
A666316;Wiggles;31;10;2013;16;21;0;Return_to_owner;;Dog;Spayed;Female;1 year;Chihuahua Shorthair Mix;Black;Tan
A666358;Cher;10;11;2013;16;12;0;Adoption;;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Brown Tabby;
A666409;;6;11;2013;11;12;0;Transfer;Partner;Dog;Neutered;Male;1 year;Maltese Mix;White;
A666411;Nano;5;11;2013;18;16;0;Return_to_owner;;Dog;Neutered;Male;1 year;Miniature Poodle Mix;White;
A666421;Lady Hazel;4;11;2013;23;12;0;Return_to_owner;;Dog;Intact;Female;1 year;Pit Bull Mix;Brown;
A666425;Leyla;11;11;2013;12;43;0;Return_to_owner;;Dog;Spayed;Female;1 year;Border Collie/Labrador Retriever;Chocolate;
A666430;Lucy;7;11;2013;11;47;0;Transfer;Partner;Dog;Spayed;Female;1 year;Beagle Mix;White;Brown
A666472;;9;11;2013;10;43;0;Transfer;Partner;Dog;Neutered;Male;1 year;Dachshund Mix;Black;Brown Brindle
A666478;Bleu;4;11;2013;17;51;0;Adoption;;Dog;Spayed;Female;1 year;Miniature Schnauzer/Yorkshire Terrier;Black;White
A666496;Shadowfax;2;11;2013;14;31;0;Return_to_owner;;Cat;Neutered;Male;1 year;Domestic Shorthair;Blue Tabby;
A666502;;12;11;2013;18;6;0;Adoption;;Dog;Neutered;Male;1 year;American Staffordshire Terrier Mix;Blue;White
A666517;;5;11;2013;16;17;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Black;
A666520;;4;11;2013;16;12;0;Transfer;Partner;Dog;Spayed;Female;1 year;Beagle/Chihuahua Shorthair;Yellow;
A666526;Scruffy;15;11;2013;16;23;0;Transfer;Partner;Dog;Neutered;Male;1 year;Cairn Terrier Mix;White;Tan
A666538;Pasco;13;11;2013;16;35;0;Return_to_owner;;Dog;Intact;Male;1 year;Chihuahua Shorthair Mix;Brown;Black
A666539;Emily;22;2;2014;17;32;0;Adoption;;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Blue;White
A666549;;7;11;2013;19;6;0;Adoption;;Dog;Spayed;Female;1 year;Miniature Poodle Mix;White;
A666565;Ash;26;11;2013;18;19;0;Adoption;;Dog;Intact;Female;1 year;Pit Bull Mix;Blue;White
A666570;Willie;24;11;2013;14;36;0;Return_to_owner;;Dog;Neutered;Male;1 year;Pit Bull Mix;Brown;White
A666585;Samantha;3;2;2014;14;56;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Blue Tabby;
A666586;;5;11;2013;16;18;0;Transfer;SCRP;Cat;Unknown;;1 year;Domestic Shorthair Mix;Orange Tabby;
A666618;Tater Tot;8;11;2013;13;58;0;Transfer;Partner;Dog;Spayed;Female;1 year;Shih Tzu/Maltese;White;
A666662;Elvis;12;11;2013;15;9;0;Transfer;Partner;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Blue Tabby;
A666665;Murphy;10;11;2013;17;34;0;Adoption;;Dog;Neutered;Male;1 year;Labrador Retriever/Australian Shepherd;White;Tan
A666692;Teddy;14;11;2013;17;54;0;Adoption;;Dog;Neutered;Male;1 year;Cairn Terrier Mix;Brown;Black
A666703;Leo;31;12;2014;13;9;0;Adoption;;Dog;Neutered;Male;1 year;Catahoula Mix;Yellow Brindle;White
A666706;Violet;15;11;2013;15;18;0;Transfer;Partner;Cat;Intact;Female;1 year;Russian Blue Mix;Blue;
A666716;;11;11;2013;10;49;0;Adoption;;Dog;Spayed;Female;1 year;Pit Bull Mix;White;
A666745;;6;11;2013;15;46;0;Euthanasia;Suffering;Cat;Intact;Male;1 year;Domestic Shorthair Mix;Brown Tabby;
A666760;Amy;21;6;2014;17;11;0;Return_to_owner;;Dog;Spayed;Female;1 year;German Shepherd Mix;Brown;White
A666764;Jules;7;5;2014;10;43;0;Adoption;Foster;Dog;Spayed;Female;1 year;Pit Bull Mix;Black;White
A666768;Faith;7;11;2013;14;9;0;Return_to_owner;;Dog;Intact;Female;1 year;Maltese Mix;Cream;
A666779;Dobby;29;11;2013;12;28;0;Transfer;Partner;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Tan;
A666799;;8;11;2013;15;51;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Tortie;
A666806;Ice;17;11;2013;17;37;0;Adoption;;Dog;Neutered;Male;1 year;Pit Bull Mix;White;
A666809;;8;11;2013;15;50;0;Transfer;SCRP;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Cream Tabby;
A666831;Sam;11;11;2013;15;50;0;Adoption;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Buff;
A666845;Prince;8;11;2013;12;4;0;Return_to_owner;;Dog;Neutered;Male;1 year;Miniature Poodle Mix;White;
A666850;Angel;17;1;2014;15;6;0;Euthanasia;Behavior;Dog;Spayed;Female;1 year;Pit Bull Mix;Black;White
A666851;Chipmunk;6;12;2013;12;39;0;Adoption;;Dog;Spayed;Female;1 year;Border Collie;Black;White
A666852;Bonnie;12;12;2013;15;17;0;Euthanasia;Aggressive;Dog;Spayed;Female;1 year;Pit Bull Mix;Chocolate;White
A666861;;16;11;2013;15;8;0;Transfer;Partner;Dog;Neutered;Male;1 year;Cardigan Welsh Corgi Mix;White;Tan
A666867;Louie;4;12;2013;13;28;0;Adoption;;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Brown Tabby;White
A666869;Gidget;4;2;2014;14;44;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Brown Tabby;
A666877;Romeo;15;11;2013;14;53;0;Transfer;Partner;Dog;Neutered;Male;1 year;Dachshund Mix;Tan;White
A666900;Luigi;17;11;2013;11;51;0;Adoption;;Dog;Neutered;Male;1 year;Welsh Terrier Mix;Black;Brown
A666914;Lacey;30;11;2013;15;33;0;Adoption;;Dog;Spayed;Female;1 year;Black Mouth Cur Mix;Gold;
A666922;Andy;17;11;2013;14;13;0;Transfer;Partner;Dog;Neutered;Male;1 year;Dachshund/Chihuahua Shorthair;Cream;
A666923;Nina;17;11;2013;14;14;0;Transfer;Partner;Dog;Spayed;Female;1 year;Dachshund/Chihuahua Shorthair;Sable;
A666954;Rufus;7;12;2013;16;47;0;Adoption;;Dog;Neutered;Male;1 year;Pharaoh Hound Mix;Brown;
A666962;;13;11;2013;15;57;0;Transfer;SCRP;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Brown Tabby;White
A666964;;11;11;2013;15;24;0;Transfer;SCRP;Cat;Intact;Male;1 year;Domestic Medium Hair Mix;Orange Tabby;White
A666978;Mouse;16;12;2013;14;2;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Black;
A666986;;17;11;2013;14;5;0;Transfer;Partner;Dog;Spayed;Female;1 year;Border Collie Mix;White;Black
A666994;Trixie;1;12;2013;19;0;0;Adoption;;Dog;Spayed;Female;1 year;Boxer Mix;Black;White
A667027;Casper;21;11;2013;15;17;0;Transfer;Partner;Cat;Neutered;Male;1 year;Siamese Mix;Flame Point;
A667028;Mike;30;11;2013;17;43;0;Adoption;;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Orange Tabby;
A667030;Sugar;7;5;2014;14;4;0;Adoption;;Dog;Spayed;Female;1 year;Dachshund/Labrador Retriever;Tan;
A667072;;16;11;2013;16;20;0;Transfer;Partner;Dog;Spayed;Female;1 year;Cocker Spaniel;Red;
A667083;Double;20;11;2014;11;40;0;Transfer;Partner;Dog;Neutered;Male;1 year;Pit Bull Mix;Tricolor;
A667087;;13;11;2013;16;0;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair;Torbie;
A667088;Mia;13;11;2013;14;36;0;Transfer;Partner;Dog;Spayed;Female;1 year;Shih Tzu Mix;White;
A667094;;13;11;2013;18;8;0;Euthanasia;Suffering;Dog;Intact;Male;1 year;Chihuahua Shorthair Mix;Tan;
A667095;Sugar;19;11;2013;14;41;0;Adoption;;Dog;Spayed;Female;1 year;Miniature Poodle/Maltese;Cream;
A667104;Decker;21;11;2013;14;12;0;Transfer;Partner;Dog;Neutered;Male;1 year;Labrador Retriever Mix;Chocolate;
A667114;Princess;19;11;2013;14;52;0;Adoption;;Dog;Spayed;Female;1 year;Jack Russell Terrier Mix;White;Tan
A667123;Princess;17;12;2013;12;13;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Black;White
A667136;;13;11;2013;13;26;0;Return_to_owner;;Cat;Spayed;Female;1 year;Domestic Longhair Mix;Brown Tabby;White
A667145;Aqua;27;12;2013;13;54;0;Adoption;;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Calico;
A667149;Wendy;27;12;2013;12;55;0;Transfer;Partner;Dog;Spayed;Female;1 year;Chihuahua Shorthair Mix;White;Tan
A667159;Sasha;19;11;2013;16;26;0;Adoption;;Dog;Spayed;Female;1 year;German Shepherd Mix;Tan;Black
A667244;Rex;24;11;2013;12;57;0;Adoption;;Dog;Neutered;Male;1 year;Pit Bull Mix;Black Brindle;White
A667256;;20;11;2013;19;11;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Medium Hair Mix;Black;
A667299;;15;11;2013;16;56;0;Euthanasia;Suffering;Cat;Unknown;;1 year;Domestic Shorthair Mix;Black;White
A667346;Blackie;28;12;2013;15;10;0;Adoption;;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Black;
A667356;Bella;17;11;2013;12;6;0;Return_to_owner;;Dog;Intact;Female;1 year;Staffordshire Mix;Blue;White
A667358;Sheba;20;12;2013;16;13;0;Adoption;;Dog;Spayed;Female;1 year;Labrador Retriever Mix;Black;
A667372;Jake;28;12;2013;15;43;0;Adoption;;Dog;Neutered;Male;1 year;Labrador Retriever Mix;Brown;
A667378;Jingle;26;1;2014;16;41;0;Adoption;;Cat;Neutered;Male;1 year;Bengal Mix;Brown Tabby;
A667386;Speedygonz;20;12;2013;17;30;0;Adoption;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Blue;White
A667388;Veruca;23;11;2013;14;26;0;Transfer;Partner;Cat;Intact;Female;1 year;Domestic Longhair Mix;Brown Tabby;White
A667397;Gaby;22;11;2013;11;32;0;Transfer;Partner;Dog;Spayed;Female;1 year;Chihuahua Shorthair;Tricolor;
A667398;;21;11;2013;15;37;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Tortie;
A667400;Norbert;20;12;2013;14;43;0;Adoption;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;White;Black
A667401;Posie;27;11;2013;14;33;0;Transfer;Partner;Dog;Spayed;Female;1 year;Chihuahua Shorthair Mix;Tan;
A667409;Herby;4;10;2014;12;22;0;Return_to_owner;;Cat;Neutered;Male;1 year;Domestic Medium Hair Mix;Black;
A667455;Bebop;20;11;2013;13;32;0;Transfer;Partner;Dog;Spayed;Female;1 year;Chihuahua Shorthair/Lhasa Apso;White;Tan
A667456;Sugar Baby;20;11;2013;13;32;0;Transfer;Partner;Dog;Spayed;Female;1 year;Chihuahua Shorthair Mix;Tricolor;
A667464;Cooper;23;4;2014;16;36;0;Adoption;;Cat;Neutered;Male;1 year;Siamese Mix;Flame Point;
A667487;Daisy;3;11;2014;11;22;0;Return_to_owner;;Dog;Spayed;Female;1 year;Bloodhound Mix;Black;Brown
A667513;Pepper;24;11;2013;16;46;0;Adoption;;Dog;Spayed;Female;1 year;Miniature Poodle Mix;Black;
A667525;Skipper;2;12;2013;17;1;0;Adoption;;Dog;Spayed;Female;1 year;Jack Russell Terrier;White;Brown
A667538;Goldie;28;12;2013;16;35;0;Adoption;;Dog;Neutered;Male;1 year;Chihuahua Shorthair/Dachshund;Brown;White
A667544;;22;11;2013;17;16;0;Transfer;SCRP;Cat;Intact;Male;1 year;Domestic Shorthair Mix;Blue;White
A667578;Chikis;23;11;2013;17;33;0;Return_to_owner;;Dog;Spayed;Female;1 year;Miniature Poodle Mix;White;
A667591;Molly Blue;19;12;2013;13;6;0;Adoption;;Dog;Spayed;Female;1 year;Border Collie Mix;Black;White
A667596;Snickers;15;2;2014;14;39;0;Adoption;;Dog;Spayed;Female;1 year;Pit Bull Mix;Brown;White
A667597;Bella;18;1;2014;12;31;0;Adoption;;Dog;Spayed;Female;1 year;Pit Bull Mix;Black;White
A667599;Odin;29;11;2013;16;48;0;Return_to_owner;;Dog;Neutered;Male;1 year;German Shepherd Mix;Black;Tan
A667632;Prissies;22;11;2013;17;13;0;Return_to_owner;;Dog;Neutered;Male;1 year;Miniature Poodle Mix;Black;White
A667753;Dexter;22;12;2013;19;32;0;Adoption;;Dog;Neutered;Male;1 year;Dachshund/Chihuahua Shorthair;Brown;
A667754;Littlejerry;29;11;2013;14;9;0;Transfer;Partner;Dog;Neutered;Male;1 year;Chihuahua Shorthair;Fawn;White
A667765;Rory;30;11;2013;15;59;0;Return_to_owner;;Dog;Neutered;Male;1 year;Dachshund Mix;Black;Brown
A667766;Sylvester;25;11;2013;13;20;0;Transfer;Partner;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;White;Black
A667789;Melly;23;11;2013;16;9;0;Return_to_owner;;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Tortie;
A667794;;26;11;2013;15;29;0;Transfer;SCRP;Cat;Intact;Male;1 year;Domestic Shorthair Mix;Brown Tabby;
A667799;Buddah;25;11;2013;16;18;0;Return_to_owner;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Black;Brown
A667803;Carly;6;9;2014;17;20;0;Transfer;Partner;Dog;Spayed;Female;1 year;Rottweiler Mix;Black;Tan
A667812;Kanga;28;12;2013;16;52;0;Adoption;;Dog;Spayed;Female;1 year;Chihuahua Shorthair Mix;Brown;White
A667815;Joey;1;1;2014;15;8;0;Transfer;Partner;Dog;Intact;Male;1 year;Chihuahua Shorthair Mix;Black;Tan
A667816;Sampson;14;1;2014;14;51;0;Transfer;Partner;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Blue Tabby;White
A667846;Gigi;7;12;2013;18;0;0;Transfer;Partner;Dog;Intact;Female;1 year;Pit Bull Mix;Brown;White
A667853;Gilly;30;11;2013;15;2;0;Adoption;Offsite;Dog;Neutered;Male;1 year;Bruss Griffon Mix;White;Brown
A667873;Gee;21;6;2014;14;38;0;Return_to_owner;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Tan;White
A667889;Dreyfus;26;12;2013;19;6;0;Adoption;;Dog;Neutered;Male;1 year;Australian Cattle Dog/Belgian Malinois;Blue Merle;Tan
A667892;Chai;25;11;2013;16;46;0;Return_to_owner;;Dog;Spayed;Female;1 year;Cairn Terrier Mix;Tan;
A667898;;1;12;2013;17;23;0;Adoption;;Dog;Spayed;Female;1 year;Chihuahua Shorthair;Tan;
A667901;;27;11;2013;19;20;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Black;
A667934;Charlie;27;1;2014;14;38;0;Return_to_owner;;Dog;Spayed;Female;1 year;Australian Cattle Dog;White;Red
A667936;;1;12;2013;11;57;0;Adoption;;Dog;Neutered;Male;1 year;Dachshund Mix;Black;Brown
A667960;;3;12;2013;18;53;0;Adoption;;Dog;Spayed;Female;1 year;Cairn Terrier/Chihuahua Shorthair;Tan;
A668006;;4;12;2013;12;43;0;Transfer;Partner;Dog;Neutered;Male;1 year;Chihuahua Shorthair/Dachshund;Tricolor;
A668007;Minne;8;12;2013;14;32;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Tortie;White
A668013;Huey;8;12;2013;18;11;0;Adoption;;Dog;Neutered;Male;1 year;Labrador Retriever Mix;Black;White
A668051;Miss Kitty;20;12;2013;17;35;0;Adoption;;Cat;Spayed;Female;1 year;Domestic Shorthair Mix;Torbie;
A668056;;1;12;2013;17;0;0;Transfer;Partner;Dog;Neutered;Male;1 year;Chihuahua Shorthair/Pug;Blue;Tan
A668108;Hugo;6;12;2013;18;32;0;Adoption;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Black;White
A668173;Annie;5;12;2013;12;57;0;Transfer;Partner;Dog;Spayed;Female;1 year;German Shepherd;Brown;Black
A668179;;29;11;2013;12;23;0;Euthanasia;Suffering;Dog;Intact;Male;1 year;Basset Hound Mix;Tricolor;
A668195;Nite;22;12;2013;12;56;0;Transfer;Partner;Cat;Spayed;Female;1 year;Bombay Mix;Black;
A668200;Crush;12;8;2014;18;22;0;Return_to_owner;;Dog;Neutered;Male;1 year;Labrador Retriever/Siberian Husky;Brown;White
A668214;Wags;8;12;2013;18;5;0;Adoption;;Dog;Neutered;Male;1 year;Australian Cattle Dog Mix;Blue Tick;Black
A668238;Calka;30;11;2013;17;57;0;Adoption;;Dog;Intact;Male;1 year;Standard Poodle Mix;White;
A668289;;6;12;2013;11;29;0;Transfer;Partner;Cat;Spayed;Female;1 year;Domestic Medium Hair Mix;Calico;
A668322;;3;12;2013;15;46;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Medium Hair Mix;Brown Tabby;White
A668335;Buddy;22;12;2013;14;24;0;Adoption;;Dog;Neutered;Male;1 year;Labrador Retriever Mix;Tan;
A668337;Tony;1;1;2014;13;42;0;Euthanasia;Behavior;Dog;Intact;Male;1 year;Pit Bull Mix;Brown Brindle;White
A668345;;3;12;2013;15;46;0;Transfer;SCRP;Cat;Intact;Female;1 year;Domestic Shorthair Mix;Brown Tabby;Tortie
A668358;;3;12;2013;15;46;0;Transfer;SCRP;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Black;
A668361;Gizmo;5;1;2014;15;49;0;Adoption;;Dog;Neutered;Male;1 year;Chihuahua Shorthair Mix;Tan;Brown
A668372;Greta;12;1;2014;15;20;0;Adoption;;Dog;Spayed;Female;1 year;Pit Bull Mix;Tan;
A668384;Juneau;27;12;2013;18;55;0;Adoption;;Dog;Spayed;Female;1 year;German Shepherd Mix;Brown;Black
A668408;Eberhart;16;12;2013;14;38;0;Transfer;SCRP;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Lynx Point;Gray Tabby
A668442;Myrtle;9;3;2014;14;43;0;Adoption;;Dog;Spayed;Female;1 year;Vizsla Mix;Red;White
A668471;Frenchy;3;3;2015;16;43;0;Transfer;Partner;Cat;Neutered;Male;1 year;Domestic Shorthair Mix;Cream Tabby;
A668487;Harris;9;12;2013;15;33;0;Return_to_owner;;Dog;Neutered;Male;1 year;Border Collie Mix;Tricolor;
A668507;;6;12;2013;17;25;0;Transfer;SCRP;Cat;Intact;Male;1 year;Domestic Shorthair;Cream Tabby;
