AnimalID;Name;DateTime;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;AgeuponOutcome;Breed;Color;Color2
A690193;;16/10/2014 16:55;Transfer;Partner;Dog;Intact Female;1 month;Plott Hound Mix;Black;
A682104;;24/06/2014 16:33;Transfer;Partner;Dog;Intact Female;5 weeks;Australian Cattle Dog Mix;Black;Brown
A687011;Gigi;07/12/2014 11:32;Transfer;Partner;Dog;Spayed Female;11 months;Boston Terrier Mix;Black;White
A698883;;19/03/2015 12:37;Euthanasia;Suffering;Cat;Intact Male;1 year;Domestic Shorthair Mix;Black;White
A163459;Sasha;14/11/2014 19:28;Return_to_owner;;Dog;Intact Female;15 years;Miniature Schnauzer Mix;Black;Gray
A668223;Bodi;07/12/2013 11:02;Return_to_owner;;Dog;Neutered Male;5 years;Labrador Retriever/Border Collie;Black;White
A705185;;14/06/2015 14:30;Transfer;Partner;Cat;Unknown;2 weeks;Domestic Shorthair Mix;Black;White
A679979;Fifi;13/07/2014 19:32;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black;White
A694845;;20/01/2015 14:42;Transfer;Partner;Dog;Intact Female;2 weeks;Border Collie Mix;Black;White
A699885;Henry;12/04/2015 13:54;Adoption;;Dog;Neutered Male;3 months;Chihuahua Shorthair Mix;Black;Tan
A532406;Zoey;22/09/2014 18:16;Adoption;;Dog;Spayed Female;6 years;Toy Poodle;Black;
A684824;Michonne;06/08/2014 14:23;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black;White
A671549;Nitro;05/02/2014 16:08;Return_to_owner;;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Black;White
A697894;;03/03/2015 11:40;Transfer;Partner;Cat;Unknown;3 days;Domestic Shorthair Mix;Black;
A706561;;07/07/2015 18:32;Adoption;;Dog;Spayed Female;2 months;Pointer Mix;Black;White
A697336;Patrick;03/03/2015 11:29;Return_to_owner;;Dog;Intact Male;2 years;Miniature Pinscher;Black;Brown
A697354;;22/02/2015 12:56;Euthanasia;Suffering;Cat;Intact Male;4 years;Domestic Shorthair Mix;Black;White
A692266;;19/11/2014 10:30;Transfer;Partner;Cat;Intact Male;4 weeks;Domestic Shorthair Mix;Black;
A708084;Ozzie;15/09/2015 14:07;Transfer;Partner;Dog;Neutered Male;2 years;Rottweiler/Beagle;Black;
A664780;Jade;21/10/2013 11:20;Adoption;;Dog;Spayed Female;6 months;Labrador Retriever/Black/Tan Hound;Black;
A718139;Rudolph;29/01/2016 15:36;Adoption;;Cat;Neutered Male;1 month;Domestic Shorthair Mix;Black;
A680587;Juniper;17/06/2014 14:00;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;
A687318;Ziggy;13/09/2014 15:26;Adoption;;Cat;Spayed Female;2 years;Domestic Longhair Mix;Black;
A719209;Blacky;21/01/2016 11:09;Adoption;;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Black;
A667421;;19/11/2013 18:58;Transfer;Partner;Dog;Intact Male;1 month;German Shepherd Mix;Black;Tan
A683336;Rosie;14/07/2014 13:32;Adoption;;Dog;Spayed Female;1 year;Chihuahua Shorthair Mix;Black;White
A711820;Tuxedo;09/11/2015 17:17;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Black;White
A682683;Nadia;16/07/2014 17:44;Adoption;;Cat;Spayed Female;1 month;Domestic Shorthair Mix;Black;White
A676887;Mutt;29/04/2014 17:04;Return_to_owner;;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Black;White
A718964;Shadow;11/01/2016 14:44;Return_to_owner;;Cat;Spayed Female;5 months;Domestic Shorthair Mix;Black;
A709145;;07/08/2015 11:44;Died;In Kennel;Dog;Intact Female;1 week;Chihuahua Shorthair Mix;Black;Tan
A692499;Leah;23/11/2014 18:34;Return_to_owner;;Dog;Spayed Female;3 years;Shih Tzu Mix;Black;
A634982;Max;25/11/2015 12:11;Return_to_owner;;Cat;Neutered Male;7 years;Domestic Shorthair Mix;Black;White
A712729;Paisley;20/11/2015 11:10;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black;White
A696409;Hans;09/02/2015 18:46;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A670712;Ferdinand;28/01/2014 16:21;Transfer;Partner;Cat;Neutered Male;2 years;Domestic Medium Hair Mix;Black;White
A700985;;28/04/2015 13:00;Transfer;Partner;Cat;Spayed Female;8 months;Domestic Shorthair Mix;Black;White
A696352;Mia;03/02/2015 17:39;Return_to_owner;;Dog;Spayed Female;10 years;Miniature Poodle Mix;Black;
A711806;Boomer;28/09/2015 15:17;Transfer;Partner;Dog;Neutered Male;2 years;Soft Coated Wheaten Terrier Mix;Black;White
A596317;Jenny;29/12/2013 16:46;Adoption;;Dog;Spayed Female;3 years;American Staffordshire Terrier Mix;Black;White
A666078;Gillian;14/12/2013 18:50;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;
A698139;;07/03/2015 09:00;Transfer;SCRP;Cat;Unknown;3 months;Domestic Shorthair Mix;Black;
A706797;;04/07/2015 09:00;Transfer;SCRP;Cat;Unknown;9 months;Domestic Shorthair Mix;Black;White
A700565;Lamar;03/05/2015 19:50;Adoption;Offsite;Dog;Neutered Male;2 years;Chihuahua Shorthair Mix;Black;White
A717611;Socks;12/12/2015 12:54;Return_to_owner;;Dog;Intact Female;6 months;Pit Bull Mix;Black;White
A666811;Bear;17/12/2013 12:13;Transfer;Partner;Cat;Neutered Male;11 months;Siamese/Domestic Shorthair;Black;
A702093;;09/05/2015 14:42;Transfer;Partner;Cat;Unknown;3 weeks;Domestic Shorthair Mix;Black;
A608232;Spike;27/10/2015 17:00;Return_to_owner;;Dog;Neutered Male;8 years;Yorkshire Terrier;Black;Tan
A714138;Archer;19/10/2015 18:06;Return_to_owner;;Dog;Neutered Male;1 year;Labrador Retriever Mix;Black;White
A679461;Liam;06/07/2014 15:20;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;White
A668660;Dasher;13/03/2014 11:29;Adoption;Foster;Cat;Neutered Male;5 months;Domestic Shorthair Mix;Black;
A693021;Itty Bitty K;07/02/2015 19:01;Adoption;;Cat;Spayed Female;8 months;Domestic Longhair Mix;Black;White
A684912;Kai Franco;03/08/2014 18:15;Adoption;;Dog;Neutered Male;3 months;Labrador Retriever Mix;Black;White
A701334;;02/05/2015 18:07;Adoption;;Dog;Neutered Male;2 months;Bluetick Hound Mix;Black;White
A615472;Jake;26/09/2015 11:04;Return_to_owner;;Dog;Neutered Male;4 years;Labrador Retriever/Rottweiler;Black;
A715005;Onyx;17/11/2015 00:00;Transfer;Partner;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black;
A681248;Loki;20/06/2014 13:18;Adoption;;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black;White
A715803;;11/11/2015 16:45;Euthanasia;Suffering;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black;
A702661;;18/07/2015 19:44;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A665409;Treat;19/10/2013 15:33;Transfer;Partner;Cat;Intact Female;4 weeks;Domestic Longhair Mix;Black;
A710112;Nelson;25/08/2015 18:08;Transfer;Partner;Dog;Neutered Male;3 years;Beagle/Dachshund;Black;Tan
A708810;Mini Mouse;09/08/2015 11:04;Transfer;Partner;Dog;Intact Female;10 years;Chihuahua Shorthair Mix;Black;White
A691962;;15/11/2014 17:55;Transfer;Partner;Dog;Intact Male;1 year;Chihuahua Shorthair Mix;Black;
A696553;Chica;09/02/2015 18:52;Return_to_owner;;Dog;Intact Female;10 months;German Shepherd Mix;Black;Brown
A682967;;10/07/2014 17:17;Adoption;;Dog;Spayed Female;3 years;Dachshund Mix;Black;Tan
A676122;;05/04/2014 15:00;Euthanasia;Suffering;Dog;Intact Male;8 months;Pit Bull Mix;Black;White
A693025;Copper;09/12/2014 15:18;Transfer;Partner;Dog;Neutered Male;1 year;Dachshund/Chihuahua Shorthair;Black;Tan
A691562;;10/11/2014 17:59;Adoption;;Dog;Spayed Female;2 years;Cairn Terrier/Dachshund;Black;Tan
A692337;Trixie;17/12/2014 08:03;Adoption;Foster;Dog;Spayed Female;2 years;Cardigan Welsh Corgi Mix;Black;White
A682970;;10/07/2014 18:21;Adoption;;Dog;Spayed Female;2 months;Dachshund Longhair Mix;Black;Tan
A691840;Tiffany;10/11/2014 19:38;Return_to_owner;;Dog;Intact Female;16 years;German Shepherd Mix;Black;Brown
A670837;Buddy;27/01/2014 15:55;Adoption;;Dog;Neutered Male;1 year;Schipperke Mix;Black;White
A696300;Molly;02/03/2015 17:28;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Medium Hair Mix;Black;
A718148;;24/12/2015 13:28;Transfer;Partner;Cat;Spayed Female;3 months;Domestic Shorthair;Black;
A708523;;29/07/2015 13:44;Transfer;Partner;Cat;Unknown;4 weeks;Domestic Shorthair Mix;Black;
A647452;Jill;04/05/2014 15:08;Return_to_owner;;Dog;Spayed Female;6 years;Labrador Retriever Mix;Black;White
A664851;Minkus;22/11/2013 18:13;Transfer;Partner;Dog;Neutered Male;1 year;Australian Cattle Dog;Black;White
A715154;;01/11/2015 13:43;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Black;
A668014;Emma;01/12/2013 17:38;Adoption;;Dog;Spayed Female;7 months;Border Collie/Australian Shepherd;Black;White
A669070;Prince C.;19/04/2014 17:51;Adoption;;Dog;Neutered Male;4 years;Labrador Retriever Mix;Black;White
A681871;;21/06/2014 16:37;Euthanasia;Suffering;Cat;Intact Female;8 years;Domestic Shorthair Mix;Black;White
A707044;Pepper;10/07/2015 18:36;Return_to_owner;;Dog;Spayed Female;4 years;Pit Bull Mix;Black;
A714169;;19/10/2015 19:10;Return_to_owner;;Dog;Intact Female;2 years;Yorkshire Terrier Mix;Black;Tan
A681339;;09/07/2014 08:28;Died;In Foster;Cat;Intact Male;4 weeks;Domestic Shorthair Mix;Black;White
A679817;Ruby;31/05/2014 13:56;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black;
A680512;;03/06/2014 17:35;Transfer;Partner;Cat;Unknown;1 day;Domestic Shorthair Mix;Black;White
A692995;Lunette;08/02/2015 19:07;Adoption;;Dog;Spayed Female;2 years;American Staffordshire Terrier Mix;Black;White
A691702;;10/11/2014 12:08;Euthanasia;Suffering;Cat;Unknown;5 months;Domestic Shorthair Mix;Black;
A717751;Lucy;14/12/2015 15:04;Return_to_owner;;Dog;Spayed Female;1 year;Chihuahua Shorthair Mix;Black;Brown Brindle
A707904;Loomi;26/07/2015 14:34;Adoption;;Dog;Spayed Female;10 months;Rat Terrier Mix;Black;Brown
A683617;Henry;25/04/2015 18:56;Adoption;;Dog;Neutered Male;10 months;Border Terrier;Black;Tan
A718640;Morty;10/01/2016 12:16;Adoption;;Dog;Neutered Male;5 years;Cairn Terrier Mix;Black;Gray
A707512;Peanut;18/07/2015 19:32;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A694241;Napoleon;03/01/2015 18:38;Return_to_owner;;Dog;Neutered Male;2 years;German Shepherd;Black;Tan
A713432;;07/10/2015 09:00;Transfer;SCRP;Cat;Intact Male;2 years;Domestic Shorthair Mix;Black;White
A611924;Kiwi;24/07/2015 14:08;Return_to_owner;;Dog;Neutered Male;4 years;Chihuahua Shorthair Mix;Black;White
A693394;Kini;07/12/2014 17:20;Euthanasia;Aggressive;Dog;Spayed Female;2 years;Labrador Retriever Mix;Black;
A703403;Mustachio;29/06/2015 18:51;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;White
A712282;Israel;20/11/2015 18:59;Adoption;;Dog;Neutered Male;3 years;Labrador Retriever Mix;Black;
A689886;Bubblegum;25/02/2015 18:48;Adoption;;Cat;Spayed Female;5 months;Domestic Medium Hair Mix;Black;White
A693170;Mila;09/12/2014 11:37;Adoption;;Dog;Spayed Female;8 months;Norfolk Terrier Mix;Black;White
A666865;Princess;12/11/2013 18:58;Adoption;;Dog;Spayed Female;3 months;Labrador Retriever Mix;Black;White
A706579;Fritz;07/09/2015 19:55;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;
A688711;Birdie;23/09/2014 12:28;Transfer;Partner;Dog;Intact Female;4 months;Labrador Retriever/Border Collie;Black;White
A704927;;11/06/2015 18:05;Euthanasia;Medical;Dog;Intact Female;1 month;Chihuahua Shorthair Mix;Black;Brown
A719652;;13/02/2016 17:04;Adoption;;Dog;Spayed Female;1 month;Labrador Retriever Mix;Black;Brown
A673687;Marius;13/03/2014 14:29;Transfer;Partner;Dog;Neutered Male;5 years;Chihuahua Shorthair Mix;Black;Tan
A698555;Leeloo;01/06/2015 18:41;Adoption;;Dog;Spayed Female;2 years;Labrador Retriever/Boxer;Black;White
A680843;Chico;18/07/2014 13:49;Return_to_owner;;Dog;Neutered Male;5 years;American Bulldog Mix;Black;White
A681511;Snickers;23/06/2014 19:17;Adoption;;Dog;Spayed Female;6 months;Chihuahua Shorthair/Welsh Terrier;Black;Brown
A720169;Rita;17/02/2016 00:00;Transfer;Partner;Dog;Spayed Female;1 year;Chihuahua Shorthair Mix;Black;Brown
A664618;Sierra;10/10/2013 17:31;Adoption;;Dog;Spayed Female;2 months;Chihuahua Shorthair Mix;Black;Tan
A667940;;25/11/2013 18:38;Transfer;Partner;Dog;Intact Female;6 months;Labrador Retriever Mix;Black;
A713918;;16/10/2015 09:00;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;White
A687562;Zelda;15/09/2014 11:14;Transfer;Partner;Dog;Intact Female;2 months;Australian Kelpie Mix;Black;
A588842;Rocky;28/07/2014 08:41;Return_to_owner;;Dog;Neutered Male;6 years;Chihuahua Shorthair Mix;Black;Brown
A706895;Hugo;06/07/2015 19:32;Return_to_owner;;Dog;Neutered Male;5 years;German Shepherd Mix;Black;Tan
A713688;Coal;12/10/2015 15:08;Return_to_owner;;Dog;Neutered Male;5 years;Labrador Retriever Mix;Black;
A686830;;27/08/2014 16:27;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Black;
A667065;Miles;22/11/2013 15:08;Adoption;;Dog;Neutered Male;10 months;Dachshund Mix;Black;White
A691375;Ricardo;26/11/2014 16:08;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;White
A675666;Rolly;15/04/2014 14:40;Transfer;Partner;Dog;Neutered Male;6 years;Miniature Poodle Mix;Black;White
A687658;;09/09/2014 14:28;Transfer;Partner;Dog;Intact Male;2 months;Pit Bull Mix;Black;
A711411;;07/09/2015 14:49;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Black;
A663082;Blitz;15/12/2013 17:10;Return_to_owner;;Dog;Neutered Male;2 years;Alaskan Malamute Mix;Black;Gray
A686893;;31/08/2014 17:57;Adoption;;Cat;Neutered Male;7 months;Domestic Shorthair Mix;Black;
A713543;;09/10/2015 09:00;Transfer;SCRP;Cat;Neutered Male;2 years;Domestic Medium Hair Mix;Black;
A676957;Guapo;21/08/2014 14:19;Transfer;Partner;Dog;Neutered Male;3 years;Alaskan Malamute/Border Collie;Black;Tan
A714634;Minnie Mouse;22/11/2015 18:10;Transfer;Partner;Dog;Spayed Female;10 months;Australian Kelpie;Black;White
A686670;Luigi;30/08/2014 18:30;Adoption;Offsite;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;White
A705391;;28/06/2015 13:41;Adoption;;Dog;Neutered Male;8 years;Cocker Spaniel Mix;Black;White
A673842;;04/03/2014 14:08;Transfer;SCRP;Cat;Unknown;2 years;Domestic Shorthair Mix;Black;
A660114;Glitter;13/10/2013 15:53;Adoption;;Cat;Spayed Female;6 months;Domestic Shorthair Mix;Black;
A663913;Maui;20/12/2013 14:53;Adoption;;Dog;Spayed Female;5 months;German Shepherd/Collie Rough;Black;Brown
A659194;Norman;01/01/2015 14:40;Return_to_owner;;Dog;Neutered Male;8 years;Chihuahua Shorthair Mix;Black;Tan
A672015;Sofi;08/04/2014 09:53;Adoption;Foster;Dog;Spayed Female;3 months;Pit Bull Mix;Black;
A663971;Stanley;17/04/2014 14:55;Adoption;Foster;Dog;Neutered Male;1 year;Pit Bull Mix;Black;
A695633;Skye;27/02/2015 07:39;Adoption;Foster;Dog;Spayed Female;1 year;Border Collie Mix;Black;White
A686947;;29/08/2014 16:24;Transfer;Partner;Dog;Intact Female;1 month;Pit Bull Mix;Black;White
A719281;Sam;03/02/2016 00:00;Transfer;Partner;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;
A676335;Pantera;20/04/2014 08:57;Return_to_owner;;Dog;Spayed Female;6 years;Cocker Spaniel Mix;Black;
A686726;;01/09/2014 16:37;Transfer;Partner;Dog;Neutered Male;2 months;Chihuahua Shorthair Mix;Black;White
A668132;Santa Girl;20/12/2013 17:11;Adoption;Foster;Dog;Spayed Female;1 month;German Shepherd Mix;Black;Tan
A708385;Patti Ann;31/07/2015 14:26;Transfer;Partner;Dog;Intact Female;3 months;Doberman Pinsch Mix;Black;Brown
A704439;;05/06/2015 10:47;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Black;White
A685190;;04/08/2014 09:00;Transfer;SCRP;Cat;Intact Male;5 months;Domestic Medium Hair Mix;Black;White
A696414;Oreo;06/02/2015 11:54;Transfer;Partner;Cat;Spayed Female;2 years;Domestic Medium Hair Mix;Black;White
A657173;Pablo;01/11/2013 13:25;Return_to_owner;;Dog;Neutered Male;4 years;Australian Cattle Dog/German Shepherd;Black;Tan
A715196;Cooper;02/11/2015 17:41;Return_to_owner;;Dog;Neutered Male;9 months;Labrador Retriever Mix;Black;Brown Brindle
A674574;Harmony;18/03/2014 14:50;Transfer;Partner;Dog;Intact Female;1 year;Chihuahua Shorthair/Dachshund;Black;White
A711367;;05/09/2015 18:43;Transfer;Partner;Cat;Unknown;2 weeks;Domestic Shorthair Mix;Black;White
A689313;Roxanne;14/10/2014 14:53;Transfer;Partner;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;
A694673;Marco;07/01/2015 14:45;Transfer;Partner;Dog;Neutered Male;10 years;German Shepherd Mix;Black;Tan
A696797;Choco;12/02/2015 18:27;Return_to_owner;;Dog;Neutered Male;12 years;Pomeranian Mix;Black;White
A674414;Hugh;16/03/2014 15:25;Transfer;Partner;Dog;Intact Male;10 months;Chihuahua Shorthair Mix;Black;Tan
A620883;Sadie;03/04/2015 17:41;Transfer;Partner;Dog;Spayed Female;5 years;Labrador Retriever Mix;Black;
A700120;;08/04/2015 15:41;Transfer;Partner;Cat;Intact Male;4 days;Domestic Shorthair Mix;Black;
A665405;Max;10/01/2014 18:41;Adoption;;Dog;Neutered Male;6 months;Labrador Retriever Mix;Black;White
A698602;Coral;18/03/2015 16:40;Adoption;;Dog;Spayed Female;1 year;Dachshund;Black;
A719691;Tarzan;18/02/2016 11:28;Adoption;;Dog;Neutered Male;6 years;Collie Rough Mix;Black;Brown
A710502;;25/08/2015 09:00;Transfer;SCRP;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Black;White
A668801;Trudy;28/01/2014 15:00;Adoption;;Dog;Spayed Female;2 months;Border Collie/Labrador Retriever;Black;White
A706331;Peter;29/08/2015 14:37;Adoption;Offsite;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A670804;Domino;14/01/2014 17:44;Return_to_owner;;Dog;Spayed Female;2 years;Australian Kelpie/Labrador Retriever;Black;White
A464652;Buddy;29/10/2014 08:11;Euthanasia;Rabies Risk;Dog;Intact Male;11 years;Border Collie Mix;Black;White
A678109;;09/05/2014 13:11;Transfer;Partner;Dog;Intact Female;1 year;Labrador Retriever/Border Collie;Black;White
A679792;;26/05/2014 15:00;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Black;
A669657;Mercedes;04/02/2014 16:26;Adoption;;Dog;Spayed Female;2 years;Labrador Retriever Mix;Black;
A718545;Grace;04/01/2016 11:23;Return_to_owner;;Dog;Spayed Female;17 years;Labrador Retriever Mix;Black;White
A709163;;11/08/2015 00:00;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair;Black;
A707553;D'Artagnan;21/07/2015 18:35;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Black;White
A717143;James;18/12/2015 14:44;Adoption;;Dog;Neutered Male;6 years;Border Collie Mix;Black;White
A659113;Monty;09/12/2013 19:21;Adoption;Foster;Dog;Neutered Male;10 years;Miniature Pinscher;Black;Brown
A699308;;25/03/2015 14:51;Transfer;Partner;Cat;Unknown;2 weeks;Domestic Shorthair Mix;Black;
A668295;;03/12/2013 15:47;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Black;White
A694715;;03/01/2015 09:00;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;
A711603;Belle;20/09/2015 15:05;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black;White
A671063;Jake;22/01/2014 08:53;Euthanasia;Suffering;Cat;Intact Male;1 month;Domestic Medium Hair Mix;Black;White
A708376;;02/08/2015 12:37;Adoption;Offsite;Dog;Neutered Male;1 month;Labrador Retriever Mix;Black;White
A214991;Prissy;14/12/2013 13:28;Euthanasia;Suffering;Cat;Spayed Female;19 years;Domestic Shorthair;Black;
A669610;;24/12/2013 11:16;Transfer;Partner;Dog;Intact Female;2 months;Labrador Retriever Mix;Black;White
A711903;Clarence;17/09/2015 00:00;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black;
A719771;Bella;31/01/2016 18:41;Return_to_owner;;Dog;Spayed Female;1 year;Chihuahua Shorthair Mix;Black;Brown
A701690;Ozzy;07/05/2015 17:31;Adoption;;Dog;Neutered Male;5 months;Labrador Retriever Mix;Black;White
A684423;Cassie;23/09/2014 13:55;Adoption;Foster;Dog;Spayed Female;3 years;Boxer Mix;Black;White
A688065;Harry;07/11/2014 13:35;Transfer;Partner;Cat;Neutered Male;5 years;Domestic Medium Hair Mix;Black;White
A586598;Maton;26/02/2014 15:37;Return_to_owner;;Dog;Intact Male;3 years;Pit Bull Mix;Black;White
A712200;;21/09/2015 15:58;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black;
A693581;Genghis;11/12/2014 18:06;Return_to_owner;;Cat;Neutered Male;5 years;Domestic Shorthair Mix;Black;White
A695354;Hannah;03/04/2015 13:34;Transfer;Partner;Dog;Spayed Female;1 year;Labrador Retriever Mix;Black;White
A672540;Jane;03/04/2014 08:34;Adoption;Foster;Dog;Spayed Female;5 months;Newfoundland Mix;Black;White
A719980;Pecan;05/02/2016 19:26;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;White
A541517;Skillet;02/03/2014 11:30;Return_to_owner;;Dog;Spayed Female;5 years;Australian Kelpie Mix;Black;
A562836;Chiquita;02/03/2015 17:28;Return_to_owner;;Dog;Spayed Female;5 years;Rottweiler Mix;Black;Brown
A692274;Charlie;20/11/2014 08:07;Euthanasia;Rabies Risk;Dog;Neutered Male;4 years;Dachshund Mix;Black;Tan
A697026;Chief;24/02/2015 13:31;Return_to_owner;;Dog;Neutered Male;1 year;Border Collie Mix;Black;White
A716243;Sia;23/12/2015 13:37;Transfer;Partner;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Black;
A684875;;29/07/2014 19:07;Euthanasia;Suffering;Dog;Intact Female;4 months;German Shepherd Mix;Black;Tan
A664493;Teddy;06/11/2013 08:41;Adoption;Foster;Dog;Neutered Male;2 months;Labrador Retriever Mix;Black;
A718647;;04/01/2016 13:50;Transfer;;Dog;Intact Female;1 year;Labrador Retriever/Great Dane;Black;
A704188;Pepper;07/06/2015 12:59;Adoption;;Dog;Spayed Female;3 months;Labrador Retriever Mix;Black;White
A680705;;06/06/2014 14:39;Transfer;Partner;Cat;Intact Male;1 weeks;Domestic Shorthair Mix;Black;White
A698754;Ozzie;24/03/2015 11:01;Return_to_owner;;Cat;Neutered Male;16 years;Domestic Shorthair Mix;Black;
A668273;Mama;03/12/2013 14:08;Transfer;Partner;Cat;Spayed Female;8 years;Domestic Shorthair Mix;Black;White
A668681;Tinkle;12/12/2013 17:30;Adoption;;Dog;Neutered Male;1 year;Chihuahua Shorthair Mix;Black;Tan
A695082;;12/01/2015 15:30;Transfer;Partner;Dog;Spayed Female;3 years;Miniature Poodle;Black;
A695073;Tuna;27/10/2015 10:07;Adoption;Foster;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Black;
A678254;Rex;22/07/2014 17:23;Adoption;;Dog;Neutered Male;6 years;Miniature Pinscher Mix;Black;Tan
A701310;Johnny;25/05/2015 13:51;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair Mix;Black;
A673625;Tut;09/03/2014 12:01;Return_to_owner;;Cat;Neutered Male;2 years;Domestic Medium Hair Mix;Black;White
A720222;;05/02/2016 11:11;Transfer;Partner;Dog;Intact Female;1 month;Australian Cattle Dog Mix;Black;Tricolor
A651452;Kenny;09/11/2013 15:09;Adoption;Foster;Dog;Neutered Male;1 year;Border Collie/Labrador Retriever;Black;White
A706316;Jupiter;07/09/2015 19:22;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Black;
A717825;Charlie;06/02/2016 18:05;Adoption;Foster;Dog;Neutered Male;1 month;Miniature Poodle Mix;Black;Tan
A693127;Dutches;24/12/2014 11:10;Adoption;Foster;Dog;Spayed Female;7 years;Dutch Shepherd Mix;Black;Brown
A689267;;01/10/2014 15:23;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Black;White
A705888;Plume;08/07/2015 17:57;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A690988;Degas;19/11/2014 15:38;Died;In Foster;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black;
A693887;;16/12/2014 14:18;Died;In Kennel;Dog;Intact Male;4 weeks;German Shepherd Mix;Black;White
A692639;Scout;17/12/2014 17:34;Adoption;Foster;Dog;Neutered Male;2 months;Labrador Retriever Mix;Black;Tan
A694411;Bella;01/01/2015 14:53;Transfer;Partner;Dog;Spayed Female;4 years;Great Dane;Black;
A715444;;05/11/2015 09:00;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;White
A679435;Cheesebrgr;27/05/2014 15:26;Adoption;;Dog;Neutered Male;1 year;German Shepherd Mix;Black;Brown
A666540;Martini;07/11/2013 12:26;Adoption;;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;Black;Tan
A697207;;20/02/2015 15:55;Transfer;Partner;Cat;Intact Male;1 month;Domestic Medium Hair Mix;Black;
A692264;;25/11/2014 18:39;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Black;
A683565;Koko;20/12/2014 18:17;Adoption;;Dog;Spayed Female;9 months;Labrador Retriever/Pit Bull;Black;
A706471;Starla;13/07/2015 17:57;Adoption;;Dog;Spayed Female;1 year;Labrador Retriever Mix;Black;
A713184;;04/10/2015 09:00;Transfer;SCRP;Cat;Unknown;2 years;Domestic Shorthair Mix;Black;
A713889;Mackerel;23/12/2015 13:43;Transfer;Partner;Cat;Intact Male;3 months;Domestic Shorthair Mix;Black;White
A720238;Sadie;05/02/2016 14:15;Return_to_owner;;Dog;Spayed Female;16 years;Labrador Retriever Mix;Black;
A706537;;05/07/2015 19:12;Adoption;;Dog;Spayed Female;1 month;Catahoula Mix;Black;Tan
A700081;;10/04/2015 18:05;Euthanasia;Medical;Dog;Neutered Male;10 years;Chihuahua Shorthair Mix;Black;Cream
